Mnémo.;Code ISIN;Sous-jacent ;Barrière;Borne haute;Maturité;Achat;Vente;PerformanceMax en %;Prix sous-jacent
505GS;DE000SF42MD7;Accor;20,0000 EUR;35,0000 EUR;21/01/2022 00:00:00;9,8800;9,9400;0,603625977360308;31,365 EUR
739PS;DE000SF355W6;Accor;18,0000 EUR;34,0000 EUR;21/01/2022 00:00:00;9,7100;9,7800;2,24949154433128;31,365 EUR
740PS;DE000SF355X4;Accor;22,0000 EUR;38,0000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;31,365 EUR
507GS;DE000SF42MF2;Accor;25,0000 EUR;40,0000 EUR;18/02/2022 00:00:00;9,6300;9,6700;3,41261552329303;31,365 EUR
506GS;DE000SF42ME5;Accor;20,0000 EUR;35,0000 EUR;18/02/2022 00:00:00;8,8900;8,9700;11,4827168596324;31,365 EUR
215LS;DE000SF5U8W3;Accor;25,0000 EUR;40,0000 EUR;18/03/2022 00:00:00;9,0800;9,1200;9,64912418293272;31,365 EUR
214LS;DE000SF5U8V5;Accor;20,0000 EUR;35,0000 EUR;18/03/2022 00:00:00;7,6400;7,7300;29,366105761001;31,365 EUR
620ES;DE000SH050G4;Accor;20,0000 EUR;32,0000 EUR;14/04/2022 00:00:00;1,4700;1,5900;528,930804407025;31,365 EUR
622ES;DE000SH050J8;Accor;26,0000 EUR;36,0000 EUR;14/04/2022 00:00:00;6,2000;6,2600;59,7444031050172;31,365 EUR
621ES;DE000SH050H2;Accor;24,0000 EUR;34,0000 EUR;14/04/2022 00:00:00;4,8000;4,8900;104,498983088663;31,365 EUR
623ES;DE000SH050K6;Accor;24,0000 EUR;38,0000 EUR;20/05/2022 00:00:00;7,2600;7,3100;36,7989066795754;31,365 EUR
746PS;DE000SF35533;Air France - KLM;2,8000 EUR;5,6000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
489GS;DE000SF415E6;Air France - KLM;3,6000 EUR;5,8000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
487GS;DE000SF415C0;Air France - KLM;3,2000 EUR;5,4000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
742PS;DE000SF355Z9;Air France - KLM;2,2000 EUR;5,2000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
743PS;DE000SF35509;Air France - KLM;2,6000 EUR;5,0000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
488GS;DE000SF415D8;Air France - KLM;3,4000 EUR;5,6000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
744PS;DE000SF35517;Air France - KLM;2,6000 EUR;5,4000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
486GS;DE000SF415B2;Air France - KLM;3,0000 EUR;5,2000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
745PS;DE000SF35525;Air France - KLM;2,8000 EUR;5,2000 EUR;21/01/2022 00:00:00;9,9500;10,0000;0;4,211265 EUR
