mnémo;isin;sous-jacent;borne basse;borne haute;maturité;maturité jours;achat;vente;prix sous-jacent;plage;cible;ecart cible;ecart cible abs
740PS;DE000SF355X4;Accor;22;38;21/01/2022;7;9,95;10;31,36;16;32,67;-4;4
739PS;DE000SF355W6;Accor;18;34;21/01/2022;7;9,71;9,78;31,36;16;28,67;9,40;9,40
505GS;DE000SF42MD7;Accor;20;35;21/01/2022;7;9,88;9,94;31,36;15;30;4,53;4,53
506GS;DE000SF42ME5;Accor;20;35;18/02/2022;35;8,89;8,97;31,36;15;30;4,53;4,53
214LS;DE000SF5U8V5;Accor;20;35;18/03/2022;63;7,64;7,73;31,36;15;30;4,53;4,53
507GS;DE000SF42MF2;Accor;25;40;18/02/2022;35;9,63;9,67;31,36;15;35;-10,40;10,40
215LS;DE000SF5U8W3;Accor;25;40;18/03/2022;63;9,08;9,12;31,36;15;35;-10,40;10,40
623ES;DE000SH050K6;Accor;24;38;20/05/2022;126;7,26;7,31;31,36;14;33,33;-5,92;5,92
620ES;DE000SH050G4;Accor;20;32;14/04/2022;90;1,47;1,59;31,36;12;28;12;12
621ES;DE000SH050H2;Accor;24;34;14/04/2022;90;4,80;4,89;31,36;10;30,67;2,26;2,26
622ES;DE000SH050J8;Accor;26;36;14/04/2022;90;6,20;6,26;31,36;10;32,67;-4;4
747PS;DE000SF35541;Air France - KLM;2,40;5,40;18/02/2022;35;9,91;9,95;4,21;3;4,40;-4,32;4,32
742PS;DE000SF355Z9;Air France - KLM;2,20;5,20;21/01/2022;7;9,95;10;4,21;3;4,20;0,24;0,24
744PS;DE000SF35517;Air France - KLM;2,60;5,40;21/01/2022;7;9,95;10;4,21;2,80;4,47;-5,75;5,75
746PS;DE000SF35533;Air France - KLM;2,80;5,60;21/01/2022;7;9,95;10;4,21;2,80;4,67;-9,79;9,79
490GS;DE000SF415F3;Air France - KLM;2,80;5,40;18/02/2022;35;9,87;9,92;4,21;2,60;4,53;-7,13;7,13
491GS;DE000SF415G1;Air France - KLM;3;5,60;18/02/2022;35;9,84;9,90;4,21;2,60;4,73;-11,06;11,06
492GS;DE000SF415H9;Air France - KLM;3,20;5,80;18/02/2022;35;9,64;9,70;4,21;2,60;4,93;-14,66;14,66
745PS;DE000SF35525;Air France - KLM;2,80;5,20;21/01/2022;7;9,95;10;4,21;2,40;4,40;-4,32;4,32
220LS;DE000SF5U811;Air France - KLM;2,80;5,20;18/03/2022;63;8,87;8,91;4,21;2,40;4,40;-4,32;4,32
221LS;DE000SF5U829;Air France - KLM;3;5,40;18/03/2022;63;8,93;8,98;4,21;2,40;4,60;-8,48;8,48
743PS;DE000SF35509;Air France - KLM;2,60;5;21/01/2022;7;9,95;10;4,21;2,40;4,20;0,24;0,24
219LS;DE000SF5U803;Air France - KLM;2,60;5;18/03/2022;63;8,38;8,40;4,21;2,40;4,20;0,24;0,24
624ES;DE000SH050L4;Air France - KLM;2,20;4,60;14/04/2022;90;4,99;5;4,21;2,40;3,80;10,79;10,79
222LS;DE000SF5U837;Air France - KLM;3,20;5,60;18/03/2022;63;8,59;8,65;4,21;2,40;4,80;-12,29;12,29
486GS;DE000SF415B2;Air France - KLM;3;5,20;21/01/2022;7;9,95;10;4,21;2,20;4,47;-5,75;5,75
487GS;DE000SF415C0;Air France - KLM;3,20;5,40;21/01/2022;7;9,95;10;4,21;2,20;4,67;-9,79;9,79
488GS;DE000SF415D8;Air France - KLM;3,40;5,60;21/01/2022;7;9,95;10;4,21;2,20;4,87;-13,49;13,49
217LS;DE000SF5U8Y9;Air France - KLM;3,40;5,60;18/02/2022;35;9,11;9,18;4,21;2,20;4,87;-13,49;13,49
489GS;DE000SF415E6;Air France - KLM;3,60;5,80;21/01/2022;7;9,95;10;4,21;2,20;5,07;-16,91;16,91
625ES;DE000SH050M2;Air France - KLM;2,80;4,80;14/04/2022;90;6,08;6,10;4,21;2;4,13;1,85;1,85
